subject,party,prime_type,rating,self_exclusion_1,complete_data,prime_identity
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,2
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,1
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,3
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,6
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,5
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
23704276,democrat,prime_type_A,1,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,4
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,2
23704276,democrat,prime_type_B,0,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,5
23704276,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
23704276,democrat,prime_type_A,0,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_A,0,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_B,0,"Yes, use my data",TRUE,2
