"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","correct","latency","trial.prime_obama.totalpercentcorrect","trial.prime_trump.totalpercentcorrect"
"081218","08:00:40","920361217","test","2","prime_trump","13","5","58","1","262","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","14","5","49","0","258","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","15","2","18","1","2159","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","16","1","46","1","387","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","17","2","27","0","387","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","18","6","11","1","531","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","19","5","32","1","453","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","20","3","19","1","338","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","21","4","54","1","304","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","22","6","50","0","278","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","23","2","16","1","569","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","24","4","56","0","323","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","25","1","3","0","366","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","26","5","59","0","358","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","27","2","40","0","407","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","28","1","60","1","286","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","29","4","57","1","274","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","30","3","6","1","166","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","31","3","61","0","438","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","32","5","37","0","300","0","100"
"081218","08:00:40","920361217","test","2","prime_trump","33","5","20","1","415","0","100"
"081218","08:00:40","920361217","test","2","prime_obama","34","4","28","1","574","6","100"
"081218","08:00:40","920361217","test","2","prime_obama","35","1","34","1","527","12","100"
"081218","08:00:40","920361217","test","2","prime_obama","36","3","36","0","89","11","100"
"081218","08:00:40","920361217","test","2","prime_obama","37","6","25","0","436","11","100"
"081218","08:00:40","920361217","test","2","prime_obama","38","2","64","0","2","10","100"
"081218","08:00:40","920361217","test","2","prime_trump","39","6","7","1","345","10","100"
"081218","08:00:40","920361217","test","2","prime_obama","40","4","21","0","522","10","100"
"081218","08:00:40","920361217","test","2","prime_trump","41","2","69","0","204","10","95"
"081218","08:00:40","920361217","test","2","prime_trump","42","5","52","1","331","10","95"
"081218","08:00:40","920361217","test","2","prime_obama","43","2","4","1","589","14","95"
"081218","08:00:40","920361217","test","2","prime_trump","44","1","5","1","502","14","95"
"081218","08:00:40","920361217","test","2","prime_trump","45","6","24","1","328","14","95"
"081218","08:00:40","920361217","test","2","prime_obama","46","3","62","0","355","13","95"
"081218","08:00:40","920361217","test","2","prime_trump","47","4","22","0","492","13","91"
"081218","08:00:40","920361217","test","2","prime_trump","48","3","30","1","296","13","92"
"081218","08:00:40","920361217","test","2","prime_obama","49","1","45","1","134","17","92"
"081218","08:00:40","920361217","test","2","prime_trump","50","5","35","1","85","17","92"
"081218","08:00:40","920361217","test","2","prime_obama","51","6","15","1","480","20","92"
"081218","08:00:40","920361217","test","2","prime_obama","52","5","9","0","204","20","92"
"081218","08:00:40","920361217","test","2","prime_trump","53","2","53","0","258","20","88"
"081218","08:00:40","920361217","test","2","prime_obama","54","6","31","1","232","23","88"
"081218","08:00:40","920361217","test","2","prime_trump","55","6","43","1","357","23","89"
"081218","08:00:40","920361217","test","2","prime_obama","56","3","26","1","327","25","89"
"081218","08:00:40","920361217","test","2","prime_obama","57","2","47","1","401","28","89"
"081218","08:00:40","920361217","test","2","prime_trump","58","1","44","1","272","28","89"
"081218","08:00:40","920361217","test","2","prime_trump","59","3","65","1","334","28","90"
"081218","08:00:40","920361217","test","2","prime_trump","60","4","29","1","357","28","90"
"081218","08:00:40","920361217","test","2","prime_obama","61","1","8","1","198","31","90"
"081218","08:00:40","920361217","test","2","prime_obama","62","5","13","1","245","33","90"
"081218","08:00:40","920361217","test","2","prime_trump","63","3","67","1","251","33","90"
"081218","08:00:40","920361217","test","2","prime_trump","64","1","67","1","232","33","90"
"081218","08:00:40","920361217","test","2","prime_obama","65","4","46","1","325","35","90"
"081218","08:00:40","920361217","test","2","prime_obama","66","2","43","1","304","37","90"
"081218","08:00:40","920361217","test","2","prime_obama","67","5","53","1","315","39","90"
"081218","08:00:40","920361217","test","2","prime_obama","68","4","24","1","325","41","90"
"081218","08:00:40","920361217","test","2","prime_trump","69","5","49","0","327","41","88"
"081218","08:00:40","920361217","test","2","prime_obama","70","6","71","0","442","40","88"
"081218","08:00:40","920361217","test","2","prime_trump","71","4","27","0","392","40","85"
"081218","08:00:40","920361217","test","2","prime_trump","72","6","35","0","407","40","83"
"081218","08:00:40","920361217","test","2","prime_obama","73","1","61","0","390","38","83"
"081218","09:01:02","523688081","practice","1","prime_trump_practice","4","0","0","0","961","0","0"
"081218","09:01:02","523688081","practice","1","prime_trump_practice","5","0","0","0","775","0","0"
"081218","09:01:02","523688081","practice","1","prime_obama_practice","6","0","0","0","693","0","0"
"081218","09:01:02","523688081","practice","1","prime_obama_practice","7","0","0","0","727","0","0"
"081218","09:01:02","523688081","practice","1","prime_trump_practice","8","0","0","1","568","0","0"
"081218","09:01:02","523688081","practice","1","prime_obama_practice","9","0","0","1","607","0","0"
"081218","09:01:02","523688081","practice","1","prime_obama_practice","10","0","0","0","676","0","0"
"081218","09:01:02","523688081","practice","1","prime_trump_practice","11","0","0","1","727","0","0"
"081218","09:01:02","523688081","practice","1","prime_trump_practice","12","0","0","0","647","0","0"
"081218","09:01:02","523688081","practice","1","prime_obama_practice","13","0","0","0","939","0","0"
"081218","09:01:02","523688081","test","2","prime_trump","2","2","37","0","730","0","0"
"081218","09:01:02","523688081","test","2","prime_obama","3","5","19","0","683","0","0"
"081218","09:01:02","523688081","test","2","prime_trump","4","5","45","0","636","0","0"
