subject,age,gender,AMP_effect_positive_negative,mean_response_amp_posneg,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
756267867,22,Male,0,0.5,0.03,-0.07,0.51,7,5,2,"Yes, use my data",,5,TRUE
765338899,47,female,0.94,0.5,0.92,0.91,0.03,6,2,1,"Yes, use my data",,1,TRUE
773202440,42,Male,0.72,0.5,0.86,NA,0.99,7,6,6,"Yes, use my data",,7,TRUE
778083163,29,female,-0.14,0.569,0.03,-0.09,0.22,7,3,1,"Yes, use my data",,4,TRUE
787311848,35,female,0.58,0.403,0.58,0.46,0.61,7,5,4,"Yes, use my data",,4,TRUE
791742299,38,female,0.11,0.583,0.28,0.19,0.1,7,2,1,"Yes, use my data",,2,TRUE
795100721,19,Male,0.17,0.472,0.42,0.62,0.71,7,5,5,"Yes, use my data",,6,TRUE
795481488,18,Male,0.03,0.431,-0.11,-0.18,0.17,7,3,5,"Yes, use my data",,2,TRUE
795643111,27,male,0,0.611,0.67,0.8,0.82,4,5,6,"Yes, use my data",,2,TRUE
808760508,27,male,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
809437455,51,Female,0.36,0.708,0.75,NA,0.99,6,6,6,"Yes, use my data",,2,TRUE
821794310,32,Male,0.03,0.986,0,0,0,7,1,1,"No, exclude my data (please specify why):","Early on in the test i realised that i like chinese symbols regardless of design and found myself answering each question with a ""Pleasent"" responce, i do not know if this will negatively effect the results of your study which is why i selected this option. also i found the images to flash by so fast i focused my attention on seeing the symbol and not the first image which is why it was easy not to let the image effect my judgement of the symbol.",1,TRUE
822831156,38,male,0.08,0.431,0.03,-0.07,0.1,7,2,7,"Yes, use my data",,2,TRUE
824618497,64,male,0.56,0.556,0.78,NA,1,7,7,6,"Yes, use my data",,4,TRUE
840036172,26,Male,0,0.972,0.03,0.04,0.81,7,7,1,"Yes, use my data",,1,TRUE
841910949,37,female,0.5,0.639,0.56,0.18,0.64,7,5,5,"Yes, use my data",,2,TRUE
842029900,26,male,0.89,0.528,0.86,0.85,0.1,6,3,2,"Yes, use my data",,1,TRUE
854556011,38,Female,0.78,0.528,0.86,0.86,0,3,2,2,"Yes, use my data",,1,TRUE
859270916,22,Male,0.25,0.208,0.47,0.25,0.36,6,4,2,"Yes, use my data",,6,TRUE
859570573,32,female,0.28,0.694,0.25,0.22,0.03,7,3,1,"Yes, use my data",,3,TRUE
860183763,22,female,0.83,0.444,0.86,0,0.94,7,6,1,"Yes, use my data",,6,TRUE
861999982,18,Male,-0.22,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
864076786,27,female,0.89,0.5,0.81,0.27,0.76,6,6,5,"Yes, use my data",,4,TRUE
866046103,47,Female,-0.14,0.792,-0.03,0.02,0.12,7,3,1,"Yes, use my data",,2,TRUE
866309533,30,Female,-0.06,0.833,0.22,0.17,0.07,7,2,1,"Yes, use my data",,3,TRUE
873505925,53,male,0,0.417,-0.08,-0.06,0.03,7,2,1,"Yes, use my data",,2,TRUE
