subject,age,gender,IA_AMP_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
921562599,19,Female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
928614438,45,Male,0.65,0.7,all,more than half,less than half,"Yes, use my data",,about half,TRUE
930039379,30,Male,0.28,0.17,more than half,a few,a few,"Yes, use my data",,less than half,TRUE
930365004,55,female,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
938096670,26,Male,0.23,0.14,all,Sometimes,Somewhat rarely,"Yes, use my data",,Very rarely,TRUE
940387388,64,Male,-0.1,0,all,none,none,"Yes, use my data",,none,TRUE
943848000,35,Female,0.17,0.33,less than half,about half,a few,"Yes, use my data",,most,TRUE
946067883,31,Male,0.47,0.65,more than half,most,more than half,"Yes, use my data",,less than half,TRUE
946767322,39 ,Female,0.48,0,all,none,none,"Yes, use my data",,none,TRUE
947750185,50,Male,0.35,0.99,less than half,less than half,a few,"Yes, use my data",,less than half,TRUE
957902800,38,female,-0.03,0,most,Very rarely,Never,"Yes, use my data",,Very rarely,TRUE
960162870,27,female,0.1,0.99,about half,a few,a few,"Yes, use my data",,a few,TRUE
963962438,18,M,0.25,0.88,all,all,none,"Yes, use my data",,all,TRUE
964951392,23,Female,0.67,0.55,all,most,most,"No, exclude my data (please specify why):","they went too fast, so i wasn't able to actually look at the chinese symbol, my mind only saw the first image first so it was hard for me to judge the symbol at all ",most,TRUE
968375333,18,male,0.18,0.84,all,more than half,most,"Yes, use my data",,most,TRUE
978113407,34,Female,0.25,0.13,less than half,less than half,a few,"Yes, use my data",,a few,TRUE
984715165,32,Female,-0.15,0.08,all,a few,a few,"Yes, use my data",,a few,TRUE
429065259,NA,NA,NA,NA,,NA,NA,NA,NA,NA,FALSE
