"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"103019","08:53:43","712894325","922084966","5.0.14.0","1","2","demographics","age","0","0","0","0","45","1","3564"
"103019","08:53:43","712894325","922084966","5.0.14.0","1","3","demographics","gender","0","0","0","0","f","1","6368"
"103019","12:53:46","931269817","493558913","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d93b723e248c2001767fafa","1","7386"
"103019","12:53:46","931269817","493558913","5.0.14.0","1","2","demographics","age","0","0","0","0","41","1","3752"
"103019","12:53:46","931269817","493558913","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5241"
"103019","08:52:41","631012653","126873854","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c6480b5f9b6300001c9d52c","1","75047"
"103019","08:52:41","631012653","126873854","5.0.14.0","1","2","demographics","age","0","0","0","0","57","1","3666"
"103019","08:52:41","631012653","126873854","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","5181"
"103019","08:54:56","399541088","752800955","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c82a8cdfff8430015e9942f","1","9025"
"103019","08:54:56","399541088","752800955","5.0.14.0","1","2","demographics","age","0","0","0","0","32","1","2418"
"103019","08:54:56","399541088","752800955","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","4105"
"103019","12:54:10","611121030","820311677","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5abb8dcb7ccedb0001b7f0d7","1","40633"
"103019","12:54:10","611121030","820311677","5.0.14.0","1","2","demographics","age","0","0","0","0","63","1","3670"
"103019","12:54:10","611121030","820311677","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5248"
"103019","12:54:47","829636636","440976148","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d53b4f0147a7d00195aaefd ","1","6837"
"103019","12:54:47","829636636","440976148","5.0.14.0","1","2","demographics","age","0","0","0","0","32","1","3942"
"103019","12:54:47","829636636","440976148","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","4297"
"103019","12:54:49","466007465","712066633","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d670a59aa02520017b1a61e","1","8039"
"103019","12:54:49","466007465","712066633","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","5521"
"103019","12:54:49","466007465","712066633","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","3491"
"103019","12:54:55","169047189","731336277","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5db48848cbe43e000c3c6c2d","1","26632"
"103019","12:54:55","169047189","731336277","5.0.14.0","1","2","demographics","age","0","0","0","0","42","1","3622"
"103019","12:54:55","169047189","731336277","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5126"
"103019","12:55:20","428906500","925047183","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","590dd1c5584166000110eb16","1","6512"
"103019","12:55:20","428906500","925047183","5.0.14.0","1","2","demographics","age","0","0","0","0","58","1","4386"
"103019","12:55:20","428906500","925047183","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5686"
"103019","12:55:29","347299638","25067060","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5da767d89d0c290014c9851a","1","10497"
"103019","12:55:29","347299638","25067060","5.0.14.0","1","2","demographics","age","0","0","0","0","18","1","2524"
"103019","12:55:29","347299638","25067060","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","4163"
