unique_id,experiment,age,gender,AMP_domain,AMP_mean_response,AMP_effect,IAAMP_influence_rate
3_860183763,3,22,female,Valence,0.444,0.83,0.94
3_864076786,3,27,female,Valence,0.5,0.89,0.76
3_866046103,3,47,female,Valence,0.792,-0.14,0.12
3_866309533,3,30,female,Valence,0.833,-0.06,0.07
3_873505925,3,53,male,Valence,0.417,0,0.03
3_875576921,3,36,female,Valence,0.639,0.17,0.28
3_884698043,3,43,female,Valence,0.542,0.58,1
3_893359853,3,49,female,Valence,0.986,-0.03,0
3_897769045,3,27,female,Valence,0.5,0.72,0.32
3_910044066,3,31,male,Valence,0.611,0.06,0
3_912834396,3,50,male,Valence,0.431,0.25,0.04
3_924175746,3,46,female,Valence,0.181,0.14,0
3_925284293,3,60,female,Valence,0.625,-0.19,0.99
3_932810171,3,31,male,Valence,0.5,0,0
3_934611708,3,19,female,Valence,0.528,0.72,0.18
3_948175176,3,29,female,Valence,0.625,0.53,0.26
3_952261778,3,35,female,Valence,0.778,0.17,0.01
3_954933050,3,27,female,Valence,0.528,-0.17,0.08
3_960339179,3,63,female,Valence,0.528,0,0.01
3_963711838,3,40,male,Valence,0.694,0,0.06
3_979149277,3,59,female,Valence,0.569,-0.14,0.03
3_983004851,3,53,male,Valence,0.5,0.28,0
3_984361772,3,22,female,Valence,0.444,0.67,0.93
4_4793598,4,26,female,Politics,0.319,0.31,0.01
4_14993216,4,21,male,Politics,0.639,0.11,0.29
4_23704276,4,19,female,Politics,0.625,0.25,0.22
4_24223154,4,23,female,Politics,0.903,0.14,0.15
4_35252637,4,26,male,Politics,0.167,0,0
4_36800426,4,53,female,Politics,0.528,0.06,0.26
4_36971546,4,28,male,Politics,0.597,0.42,0.43
4_37441758,4,33,female,Politics,0.514,0.97,0.96
4_50554708,4,52,female,Politics,0.514,0.97,0.03
4_51723877,4,53,male,Politics,0.611,-0.11,0.06
4_59088105,4,30,female,Politics,0.153,0.03,0.03
4_62735931,4,31,male,Politics,0.569,-0.08,0.04
4_72372970,4,32,male,Politics,0.528,0.94,0.24
4_77268698,4,35,male,Politics,0.486,-0.08,0.11
4_84443238,4,33,male,Politics,0.514,0.03,0.07
4_98170356,4,29,female,Politics,0.486,0.08,0
4_110689726,4,34,female,Politics,0.639,-0.06,0.58
4_128222221,4,21,male,Politics,0.458,0.92,0.42
4_138814248,4,23,female,Politics,0.764,0.03,0
4_138894434,4,22,male,Politics,0.5,0,0.36
4_143278609,4,61,female,Politics,0.486,0.97,0.89
4_150651228,4,37,male,Politics,0.542,0.03,0
4_159884672,4,40,female,Politics,0.486,0.97,0.31
4_164171230,4,26,male,Politics,0.472,0.44,0.18
4_166921097,4,20,male,Politics,0,0,0.04
4_171062326,4,24,male,Politics,0.653,0.03,0.04
4_194566192,4,21,male,Politics,0.583,-0.11,0.38
4_198000605,4,47,male,Politics,0.639,0.06,0
4_199138224,4,26,male,Politics,0.5,0.06,0.03
4_204572509,4,62,female,Politics,0.569,0.19,0
4_207177671,4,31,female,Politics,0.444,0.5,0.78
4_209267071,4,18,male,Politics,0.542,-0.08,0.07
4_210361004,4,45,male,Politics,0.583,0.06,0
